minute,drift_hz_per_min,movement_peak_to_peak_hz
1,0.06686405276967768,0.7817107140136699
2,-0.08054257590863885,0.6329544432186793
3,0.06903097079337601,0.31578031085057034
4,0.004238962087236691,0.2307478017932283
5,-0.09348944478462276,0.25777009317949506
