center_time_s,drift_hz_per_min
30.0,0.06893079598602109
35.0,0.18217702263990593
40.0,0.20665455219039336
45.0,0.20889638177057204
50.0,0.12680906034371536
55.0,0.0028206827010715503
60.0,-0.08328053374678332
65.0,-0.08760216452156461
70.0,-0.061602825255203754
75.0,-0.05644913632661126
80.0,-0.09005009739459709
85.0,-0.10734924883342895
90.0,-0.0812088824171976
95.0,0.030991151886189436
100.0,0.039619218547902506
105.0,0.04692188695582983
110.0,0.03236761161307534
115.0,-0.039506700713862974
120.0,-0.12164722288450722
125.0,-0.0879746702780756
130.0,-0.0943120362849424
135.0,-0.08634130951201381
140.0,-0.021879479387288153
145.0,0.02031335866019921
150.0,0.06910159746377845
155.0,0.08461011509010805
160.0,0.0941246060050919
165.0,0.056953790738524586
170.0,0.06462865541899472
175.0,0.000532643330158939
180.0,-0.095125998712619
185.0,-0.07341808825208207
190.0,-0.08464041313678139
195.0,-0.12667021635967846
200.0,-0.09782790166743566
205.0,-0.05579297471097212
210.0,0.005948819372213086
215.0,0.022988992464880165
220.0,0.05667284881194933
225.0,0.031860804750925564
230.0,0.05403636766946806
235.0,0.0380716759904974
240.0,-0.031758627996779316
245.0,0.00010639640461306143
250.0,0.03410704438073136
255.0,-0.013681111092958397
260.0,-0.07827190738568317
265.0,-0.10627856938514038
270.0,-0.09348944478462276
